縣市,行政區,租賃年月日,建物型態,主要用途,租賃層次,總樓層數,建築完成年月,建物面積平方公尺,建物面積坪,房,廳,衛,有無隔間,有無傢俱,有無電梯,出租型態,月租金元,每坪月租金元,案件編號
臺北市,中山區,1140818,住宅大樓(11層含以上有電梯),住家用,九層,11,0710227,29.89,9.04,1,0,1,有,有,有,獨立套房,18000,1991.0,RPQNMLKLQHKGFCA77CC
臺北市,中山區,1140815,住宅大樓(11層含以上有電梯),住家用,十一層,13,0730927,33.95,10.27,1,0,1,有,有,有,獨立套房,12000,1168.0,RPTNMLKLQHKGFCA08CC
臺北市,中山區,1140815,華廈(10層含以下有電梯),住家用,二層,9,0650907,45.82,13.86,1,0,1,有,有,有,獨立套房,16500,1190.0,RPUNMLKLQHKGFCA18CC
臺北市,內湖區,1140816,華廈(10層含以下有電梯),住家用,三層,7,0730131,112.36,33.99,3,2,1,有,無,有,整棟(戶)出租,35000,1030.0,RPQOMLKLQHKGFCA87CC
臺北市,中山區,1140818,華廈(10層含以下有電梯),住家用,四層,7,0670227,36.73,11.11,1,0,1,有,有,有,獨立套房,12000,1080.0,RPUOMLKLQHKGFCA28CC
臺北市,中山區,1140815,住宅大樓(11層含以上有電梯),住家用,六層,11,0710227,29.55,8.94,1,1,1,有,有,有,整棟(戶)出租,16000,1790.0,RPRPMLKLQHKGFCA08CC
臺北市,中山區,1140819,住宅大樓(11層含以上有電梯),住家用,六層,11,0710227,29.63,8.96,1,1,1,有,無,有,獨立套房,13000,1450.0,RPSPMLKLQHKGFCA18CC
臺北市,中山區,1140819,住宅大樓(11層含以上有電梯),住家用,十層,13,0730927,31.01,9.38,1,1,1,有,有,有,獨立套房,14000,1492.0,RPWPMLKLQHKGFCA58CC
臺北市,中山區,1140819,住宅大樓(11層含以上有電梯),住家用,七層,13,0730927,37.86,11.45,1,1,1,有,有,有,獨立套房,15000,1310.0,RPXPMLKLQHKGFCA68CC
臺北市,信義區,1140819,公寓(5樓含以下無電梯),住家用,一層,3,0870504,28.0,8.47,2,1,1,有,有,無,分租套房,19000,2243.0,RPPNMLKLQHKGFDA77CC
臺北市,信義區,1140818,公寓(5樓含以下無電梯),住家用,一層,4,0610901,77.66,23.49,3,2,1,有,有,無,整棟(戶)出租,28000,1192.0,RPQNMLKLQHKGFDA87CC
